Name	Type	Connection	Named Entity	Entity Type
Helm of Artorias	Armour	connected to	Four	CARDINAL
Armor of Artorias	Armour	connected to	one	CARDINAL
Armor of Artorias	Armour	connected to	Gwyn	ORG
Armor of Artorias	Armour	connected to	Four	CARDINAL
Gauntlets of Artorias	Armour	connected to	Artorias the Abysswalker	ORG
Gauntlets of Artorias	Armour	connected to	one	CARDINAL
Gauntlets of Artorias	Armour	connected to	Gwyn	ORG
Gauntlets of Artorias	Armour	connected to	Four	CARDINAL
Gauntlets of Artorias	Armour	connected to	Abyss	FAC
Leggings of Artorias	Armour	connected to	Leggings of	ORG
Leggings of Artorias	Armour	connected to	Artorias the Abysswalker	ORG
Leggings of Artorias	Armour	connected to	one	CARDINAL
Leggings of Artorias	Armour	connected to	Gwyn	ORG
Leggings of Artorias	Armour	connected to	Four	CARDINAL
Leggings of Artorias	Armour	connected to	Abyss	FAC
Porcelain Mask	Armour	connected to	Blade Ciaran	PERSON
Porcelain Mask	Armour	connected to	one	CARDINAL
Porcelain Mask	Armour	connected to	Gwyn	ORG
Porcelain Mask	Armour	connected to	Four	CARDINAL
Porcelain Mask	Armour	connected to	Ciaran	PERSON
Lord's Blade Robe	Armour	connected to	Robe	PERSON
Lord's Blade Robe	Armour	connected to	Blade Ciaran	PERSON
Lord's Blade Robe	Armour	connected to	one	CARDINAL
Lord's Blade Robe	Armour	connected to	Gwyn	ORG
Lord's Blade Robe	Armour	connected to	Four	CARDINAL
Lord's Blade Robe	Armour	connected to	Knights.\nA	NORP
Lord's Blade Gloves	Armour	connected to	Blade Ciaran	PERSON
Lord's Blade Gloves	Armour	connected to	one	CARDINAL
Lord's Blade Gloves	Armour	connected to	Gwyn	ORG
Lord's Blade Gloves	Armour	connected to	Four Knights.\nGloves	TIME
Lord's Blade Waistcloth	Armour	connected to	Waistcloth	PERSON
Lord's Blade Waistcloth	Armour	connected to	Blade Ciaran	PERSON
Lord's Blade Waistcloth	Armour	connected to	one	CARDINAL
Lord's Blade Waistcloth	Armour	connected to	Gwyn	ORG
Lord's Blade Waistcloth	Armour	connected to	Four	CARDINAL
Gough's Helm	Armour	connected to	Helm	PERSON
Gough's Helm	Armour	connected to	one	CARDINAL
Gough's Helm	Armour	connected to	Gwyn	ORG
Gough's Helm	Armour	connected to	Four	CARDINAL
Gough's Helm	Armour	connected to	Knights	ORG
Gough's Helm	Armour	connected to	honor.\nA	PERSON
Gough's Helm	Armour	connected to	Hawkeye Gough	PERSON
Gough's Helm	Armour	connected to	Gough	PERSON
Gough's Helm	Armour	connected to	giant.\n	ORG
Gough's Armor	Armour	connected to	one	CARDINAL
Gough's Armor	Armour	connected to	Gwyn	ORG
Gough's Armor	Armour	connected to	Four	CARDINAL
Gough's Armor	Armour	connected to	Knights.\nArmor	PERSON
Gough's Gauntlets	Armour	connected to	Hawkeye Gough	WORK_OF_ART
Gough's Gauntlets	Armour	connected to	one	CARDINAL
Gough's Gauntlets	Armour	connected to	Gwyn	ORG
Gough's Gauntlets	Armour	connected to	Four	CARDINAL
Gough's Leggings	Armour	connected to	one	CARDINAL
Gough's Leggings	Armour	connected to	Gwyn	ORG
Gough's Leggings	Armour	connected to	Four	CARDINAL
Gough's Leggings	Armour	connected to	the Silver Knights	ORG
Guardian Helm	Armour	connected to	Helm	PERSON
Snickering Top Hat	Armour	connected to	Marvellous Chester	PERSON
Snickering Top Hat	Armour	connected to	Chester	GPE
Chester's Long Coat	Armour	connected to	Marvellous Chester	PERSON
Chester's Gloves	Armour	connected to	Marvellous Chester	PERSON
Chester's Trousers	Armour	connected to	Marvellous Chester	PERSON
Bloated Head	Armour	connected to	the Dark of Manus	ORG
Bloated Sorcerer Head	Armour	connected to	the Dark of Manus	ORG
No Travel Gear / Head	Armour	connected to	No Travel Gear	ORG
No Travel Gear / Body	Armour	connected to	No Travel Gear / Body	ORG
No Travel Gear / Arms	Armour	connected to	No Travel Gear / Arms	ORG
No Travel Gear / Legs	Armour	connected to	No Travel Gear	ORG
Dragon Head	Armour	connected to	dragon apostles	PERSON
Dragon Body	Armour	connected to	Dragon Torso Stone	PERSON
Dragon Arms	Armour	connected to	Dragon Torso Stone	PERSON
Dragon Legs	Armour	connected to	Dragon Torso Stone	PERSON
Egg	Armour	connected to	Egg Vermifuge	ORG
White Sign Soapstone	Item	connected to	the White Sign Soapstone	ORG
White Sign Soapstone	Item	connected to	one	CARDINAL
Red Sign Soapstone	Item	connected to	Darkwraiths	PERSON
Red Sign Soapstone	Item	connected to	The Red Sign Soapstone	ORG
Red Eye Orb	Item	connected to	Kaathe	GPE
Orange Guidance Soapstone	Item	connected to	one	CARDINAL
Book of the Guilty	Item	connected to	Goddess of Sin Velka	WORK_OF_ART
Eye of Death	Item	connected to	Eyes of Death	WORK_OF_ART
Eye of Death	Item	connected to	the Eyes of Death	WORK_OF_ART
Cracked Red Eye Orb	Item	connected to	humanity.\nThe Cracked Red Eye Orb	WORK_OF_ART
Cracked Red Eye Orb	Item	connected to	Kaathe	GPE
Servant Roster	Item	connected to	the Daughters of Chaos.\nEgg-bearer Eingyi	WORK_OF_ART
Servant Roster	Item	connected to	Eingyi	ORG
Servant Roster	Item	connected to	Eingyi	ORG
Blue Eye Orb	Item	connected to	Book of the Guilty	WORK_OF_ART
Blue Eye Orb	Item	connected to	Reprisal.\nThese	LANGUAGE
Blue Eye Orb	Item	connected to	Blades of the Darkmoon	ORG
Dragon Eye	Item	connected to	it.\nAn	ORG
Black Eye Orb	Item	connected to	Keeper	ORG
Black Eye Orb	Item	connected to	a Fire Keeper	ORG
Black Eye Orb	Item	connected to	the Fire Keeper.\nThe Black Eye	ORG
Black Eye Orb	Item	connected to	the Gods,	GPE
Black Eye Orb	Item	connected to	Anor Londo	GPE
Darksign	Item	connected to	one day	DATE
Purple Coward's Crystal	Item	connected to	Anor Londo	GPE
Estus Flask	Item	connected to	Estus	ORG
Estus Flask	Item	connected to	Keeper	ORG
Silver Pendant	Item	connected to	Anor Londo	GPE
Silver Pendant	Item	connected to	Artorias	PERSON
Elizabeth's Mushroom	Item	connected to	Elizabeth	PERSON
Elizabeth's Mushroom	Item	connected to	HP	ORG
Divine Blessing	Item	connected to	HP	ORG
Divine Blessing	Item	connected to	irregularities.\nThe Goddess of Sunlight Gwynevere	PERSON
Divine Blessing	Item	connected to	Sunlight Gwyn	PERSON
Blooming Purple Moss Clump	Item	connected to	Potently	PERSON
Purging Stone	Item	connected to	Carim	PERSON
Purging Stone	Item	connected to	The Purging Stone	ORG
Egg Vermifuge	Item	connected to	the Flame of Chaos	WORK_OF_ART
Repair Powder	Item	connected to	hand.\nUse	PERSON
Firebomb	Item	connected to	Bisque	GPE
Alluring Skull	Item	connected to	Hollows	PRODUCT
Lloyd's Talisman	Item	connected to	Talisman	ORG
Lloyd's Talisman	Item	connected to	Lloyd	PERSON
Lloyd's Talisman	Item	connected to	Lloyd's	ORG
Lloyd's Talisman	Item	connected to	impunity.\n\n	PERSON
Black Firebomb	Item	connected to	Firebombs	FAC
Transient Curse	Item	connected to	ghosts.\nThe	ORG
Humanity	Item	connected to	1	CARDINAL
Prism Stone	Item	connected to	seven	CARDINAL
Prism Stone	Item	connected to	lethal.\n\n\n	PERSON
Binoculars	Item	connected to	Binoculars	PERSON
Binoculars	Item	connected to	Astora	PERSON
Affidavit	Item	connected to	Velka	ORG
Affidavit	Item	connected to	Sin Annul	PERSON
Affidavit	Item	connected to	sin\nA	ORG
Affidavit	Item	connected to	Goddess Velka	ORG
Indictment	Item	connected to	Velka	ORG
Indictment	Item	connected to	one day	DATE
Souvenir of Reprisal	Item	connected to	Darkmoon	WORK_OF_ART
Souvenir of Reprisal	Item	connected to	the Dark Sun	ORG
Sunlight Medal	Item	connected to	Sun	ORG
Sunlight Medal	Item	connected to	the Warrior of Sunlight	WORK_OF_ART
Sunlight Medal	Item	connected to	Gwyn	PERSON
Sunlight Medal	Item	connected to	warriors.\n	ORG
Pendant	Item	connected to	Sun	ORG
Pendant	Item	connected to	the Warrior of Sunlight	WORK_OF_ART
Pendant	Item	connected to	Gwyn	PERSON
Pendant	Item	connected to	warriors.\n	ORG
Dragon Head Stone	Item	connected to	only one	CARDINAL
Dragon Head Stone	Item	connected to	death.\n	ORG
Dragon Torso Stone	Item	connected to	only one	CARDINAL
Rubbish	Item	connected to	Rubbish	PERSON
Copper Coin	Item	connected to	Old Man McLoyf	WORK_OF_ART
Silver Coin	Item	connected to	Knight King Rendal	ORG
Gold Coin	Item	connected to	Lloyd	PERSON
Fire Keeper Soul	Item	connected to	the Ash Maiden	ORG
Fire Keeper Soul	Item	connected to	Fire Keeper	ORG
Fire Keeper Soul	Item	connected to	Quelaag	ORG
Fire Keeper Soul	Item	connected to	Domain.\nA Fire Keeper's	ORG
Fire Keeper Soul	Item	connected to	Fire Keeper.\nEach Fire Keeper	ORG
Fire Keeper Soul	Item	connected to	Estus Flasks	ORG
Fire Keeper Soul	Item	connected to	Estus	PRODUCT
Fire Keeper Soul	Item	connected to	HP	ORG
Soul of a Lost Undead	Item	connected to	Hollow.\nUse	ORG
Soul of a Lost Undead	Item	connected to	Hollow	ORG
Large Soul of a Lost Undead	Item	connected to	Hollow.\nUse	ORG
Large Soul of a Lost Undead	Item	connected to	Hollow	ORG
Soul of a Nameless Soldier	Item	connected to	Hollow.\nUse	ORG
Soul of a Nameless Soldier	Item	connected to	Hollow	ORG
Large Soul of a Nameless Soldier	Item	connected to	Hollow.\nUse	ORG
Large Soul of a Nameless Soldier	Item	connected to	Hollow	ORG
Soul of a Proud Knight	Item	connected to	Hollow.\nUse	ORG
Soul of a Proud Knight	Item	connected to	Hollow	ORG
Large Soul of a Proud Knight	Item	connected to	Hollow.\nUse	ORG
Large Soul of a Proud Knight	Item	connected to	Hollow	ORG
Soul of a Brave Warrior	Item	connected to	Hollow.\nUse	ORG
Soul of a Brave Warrior	Item	connected to	Hollow	ORG
Large Soul of a Brave Warrior	Item	connected to	Hollow.\nUse	ORG
Large Soul of a Brave Warrior	Item	connected to	Hollow	ORG
Soul of a Hero	Item	connected to	Hollow.\nUse	ORG
Soul of a Hero	Item	connected to	Hollow	ORG
Soul of a Great Hero	Item	connected to	Hollow.\nUse	ORG
Soul of a Great Hero	Item	connected to	Hollow	ORG
Humanity	Item	connected to	1	CARDINAL
Twin Humanities	Item	connected to	2	CARDINAL
Thank you Carving	Item	connected to	you\	DATE
I'm sorry Carving	Item	connected to	\I'm sorry\	ORG
Soul of Quelaag	Item	connected to	Quelaag	ORG
Soul of Quelaag	Item	connected to	the Witch of Izalith	ORG
Soul of Quelaag	Item	connected to	Quelaag	ORG
Soul of Sif	Item	connected to	Artorias	PERSON
Soul of Sif	Item	connected to	Sif	PERSON
Soul of Sif	Item	connected to	knightsword	ORG
Soul of Gwyn, Lord of Cinder	Item	connected to	Gwyn	PERSON
Soul of Gwyn, Lord of Cinder	Item	connected to	First	ORDINAL
Soul of Gwyn, Lord of Cinder	Item	connected to	Gwyn	PERSON
Soul of Gwyn, Lord of Cinder	Item	connected to	Gwyn	PERSON
Core of an Iron Golem	Item	connected to	Sen's Fortress	ORG
Core of an Iron Golem	Item	connected to	Anor Londo.\nOriginally	ORG
Soul of Ornstein	Item	connected to	Dragonslayer Knight	PERSON
Soul of Ornstein	Item	connected to	Anor	GPE
Soul of Ornstein	Item	connected to	Gwyn	PERSON
Soul of Ornstein	Item	connected to	four	CARDINAL
Soul of Ornstein	Item	connected to	knights.\nUse	ORG
Soul of the Moonlight Butterfly	Item	connected to	Moonlight Butterfly	PERSON
Soul of the Moonlight Butterfly	Item	connected to	Darkroot	ORG
Soul of Smough	Item	connected to	Anor	GPE
Soul of Gwyndolin	Item	connected to	the Dark Sun	ORG
Soul of Gwyndolin	Item	connected to	Anor	ORG
Soul of Gwyndolin	Item	connected to	Gwyn	PERSON
Guardian Soul	Item	connected to	the Abyss.\nThe Guardian	ORG
Soul of Artorias	Item	connected to	Gwyn	PERSON
Soul of Artorias	Item	connected to	Knight Artorias	PERSON
Soul of Artorias	Item	connected to	Artorias	PERSON
Soul of Artorias	Item	connected to	Abyss	PRODUCT
Soul of Artorias	Item	connected to	half	CARDINAL
Soul of Artorias	Item	connected to	Abyss	FAC
Soul of Manus	Item	connected to	Abyss	FAC
Soul of Manus	Item	connected to	Manus	PERSON
Large Ember	Item	connected to	+10.\nAlso	ORG
Large Ember	Item	connected to	+5 std wpn	ORG
Large Ember	Item	connected to	wpn	ORG
Crystal Ember	Item	connected to	Seath the Scaleless	ORG
Crystal Ember	Item	connected to	wpn	ORG
Enchanted Ember	Item	connected to	Oolacile.\nAscends	CARDINAL
Enchanted Ember	Item	connected to	wpn	ORG
Dark Ember	Item	connected to	it.\nAscends	GPE
Dark Ember	Item	connected to	+5)\nOccult	ORG
Chaos Flame Ember	Item	connected to	Izalith	PERSON
Titanite Shard	Item	connected to	Titanite	ORG
Titanite Shard	Item	connected to	the Legendary Slabs	FAC
Titanite Shard	Item	connected to	Titanite	ORG
Large Titanite Shard	Item	connected to	Titanite	ORG
Large Titanite Shard	Item	connected to	the Legendary Slabs	FAC
Large Titanite Shard	Item	connected to	Titanite	ORG
Green Titanite Shard	Item	connected to	Titanite	ORG
Green Titanite Shard	Item	connected to	the Legendary Slabs	FAC
Green Titanite Shard	Item	connected to	Titanite	ORG
Titanite Chunk	Item	connected to	Titanite	ORG
Titanite Chunk	Item	connected to	Lordran	GPE
Titanite Chunk	Item	connected to	the Legendary Slabs	FAC
Blue Titanite Chunk	Item	connected to	Titanite	ORG
Blue Titanite Chunk	Item	connected to	Lordran	GPE
Blue Titanite Chunk	Item	connected to	the Legendary Slabs	FAC
White Titanite Chunk	Item	connected to	Titanite	ORG
White Titanite Chunk	Item	connected to	Lordran	GPE
White Titanite Chunk	Item	connected to	the Legendary Slabs	FAC
Red Titanite Chunk	Item	connected to	Titanite	ORG
Red Titanite Chunk	Item	connected to	Lordran	GPE
Red Titanite Chunk	Item	connected to	the Legendary Slabs	FAC
Titanite Slab	Item	connected to	Legendary Slabs	ORG
Blue Titanite Slab	Item	connected to	Legendary Slabs	ORG
White Titanite Slab	Item	connected to	Legendary Slabs	ORG
Red Titanite Slab	Item	connected to	Legendary Slabs	ORG
Demon Titanite	Item	connected to	Titanite	ORG
Demon Titanite	Item	connected to	today	DATE
Twinkling Titanite	Item	connected to	Slab	ORG
Basement Key	Item	connected to	Burg	PERSON
Crest of Artorias	Item	connected to	Artorias the Abysswalker	PERSON
Cage Key	Item	connected to	Sen	ORG
Archive Tower Giant Door Key	Item	connected to	Archive Tower	ORG
Blighttown Key	Item	connected to	Blighttown	FAC
Blighttown Key	Item	connected to	Blighttown	ORG
Key to New Londo Ruins	Item	connected to	New Londo	GPE
Key to New Londo Ruins	Item	connected to	Drake Valley.\nThe	FAC
Key to New Londo Ruins	Item	connected to	New Londo	GPE
Annex Key	Item	connected to	the Painted World	EVENT
Annex Key	Item	connected to	Ariamis.\nIn	PERSON
Dungeon Cell Key	Item	connected to	North.\nA	GPE
Undead Asylum F2 East Key	Item	connected to	second	ORDINAL
Undead Asylum F2 East Key	Item	connected to	the North Undead Asylum.\nThe	EVENT
Key to the Seal	Item	connected to	New Londo	GPE
Key to the Seal	Item	connected to	Four	CARDINAL
Key to the Seal	Item	connected to	Dark.\nThe Sealers	ORG
Key to the Seal	Item	connected to	New Londo	GPE
Key to the Seal	Item	connected to	Darkwraiths	PERSON
Key to the Seal	Item	connected to	Four	CARDINAL
Key to Depths	Item	connected to	Nearly half	CARDINAL
Lift Chamber Key	Item	connected to	New Londo	GPE
Lift Chamber Key	Item	connected to	New Londo	GPE
Undead Asylum F2 West Key	Item	connected to	second	ORDINAL
Undead Asylum F2 West Key	Item	connected to	the North Undead Asylum.\nThe	EVENT
Sewer Chamber Key	Item	connected to	Depths.\nIn	PRODUCT
Watchtower Basement Key	Item	connected to	Hollow	PERSON
Archive Prison Extra Key	Item	connected to	Archive Tower	FAC
Residence Key	Item	connected to	Burg	PERSON
Crest Key	Item	connected to	Bent Crest	PERSON
Crest Key	Item	connected to	Key.\nThe	GPE
Lord Soul	Item	connected to	Gravelord Nito	PERSON
Lord Soul	Item	connected to	first	ORDINAL
Lord Soul	Item	connected to	This Lord Soul	PERSON
Lord Soul	Item	connected to	the dawn of the Age	TIME
Lord Soul	Item	connected to	This Lord Soul	PERSON
Lord Soul	Item	connected to	the dawn	TIME
Lord Soul	Item	connected to	Izalith	PERSON
Lord Soul	Item	connected to	First	ORDINAL
Bequeathed Lord Soul Shard	Item	connected to	one	CARDINAL
Bequeathed Lord Soul Shard	Item	connected to	Four	CARDINAL
Bequeathed Lord Soul Shard	Item	connected to	Lord Soul	WORK_OF_ART
Bequeathed Lord Soul Shard	Item	connected to	the dawn of the Age	TIME
Bequeathed Lord Soul Shard	Item	connected to	Gwyn	PERSON
Bequeathed Lord Soul Shard	Item	connected to	four	CARDINAL
Bequeathed Lord Soul Shard	Item	connected to	New Londo	GPE
Bequeathed Lord Soul Shard	Item	connected to	Lord Soul	WORK_OF_ART
Bequeathed Lord Soul Shard	Item	connected to	the dawn of the Age of	TIME
Bequeathed Lord Soul Shard	Item	connected to	Gwyn	PERSON
Bequeathed Lord Soul Shard	Item	connected to	Dukedom	WORK_OF_ART
Bequeathed Lord Soul Shard	Item	connected to	Lordvessel.\n	ORG
Lordvessel	Item	connected to	Gwyn	PERSON
Lordvessel	Item	connected to	the Firelink Altar	LOC
Broken Pendant	Item	connected to	Half	CARDINAL
Rite of Kindling	Item	connected to	Kindling	GPE
Rite of Kindling	Item	connected to	Estus	ORG
Rite of Kindling	Item	connected to	Hollowing	GPE
Sorcery: Great Soul Arrow	Item	connected to	Soul Arrow	ORG
Sorcery: Great Soul Arrow	Item	connected to	the Vinheim Dragon School	FAC
Sorcery: Heavy Soul Arrow	Item	connected to	arrow.\nA	NORP
Sorcery: Great Heavy Soul Arrow	Item	connected to	Heavy Soul Arrow	ORG
Sorcery: Great Heavy Soul Arrow	Item	connected to	Heavy Soul Arrow	WORK_OF_ART
Sorcery: Homing Soulmass	Item	connected to	Big Hat Logan	ORG
Sorcery: Homing Soulmass	Item	connected to	Logan	PERSON
Sorcery: Homing Crystal Soulmass	Item	connected to	Logan	PERSON
Sorcery: Homing Crystal Soulmass	Item	connected to	the Regal Archives	ORG
Soul Spear	Item	connected to	Big Hat Logan	ORG
Soul Spear	Item	connected to	spear.\nA	NORP
Soul Spear	Item	connected to	Logan	PERSON
Soul Spear	Item	connected to	Gwyn	PERSON
Sorcery: Crystal Soul Spear	Item	connected to	Logan	PERSON
Sorcery: Crystal Soul Spear	Item	connected to	the Regal Archives	ORG
Sorcery: Crystal Soul Spear	Item	connected to	spear.\nThese	NORP
Magic Weapon	Item	connected to	Vinheim	PERSON
Magic Weapon	Item	connected to	Magic Shield	PRODUCT
Sorcery: Great Magic Weapon	Item	connected to	Magic Weapon	ORG
Sorcery: Great Magic Weapon	Item	connected to	Vinheim Dragon School	FAC
Sorcery: Crystal Magic Weapon	Item	connected to	Logan	PERSON
Sorcery: Strong Magic Shield	Item	connected to	Magic Shield	PRODUCT
Sorcery: Strong Magic Shield	Item	connected to	shield.\nAt	GPE
Sorcery: Strong Magic Shield	Item	connected to	Vinheim Dragon School	ORG
Cast Light	Item	connected to	Oolacile	FAC
Cast Light	Item	connected to	Vinheim	GPE
Sorcery: Hush	Item	connected to	Vinheim Dragon School	FAC
Sorcery: Hush	Item	connected to	Vinheim	PERSON
Sorcery: Hush	Item	connected to	the Dragon School	ORG
Sorcery: Aural Decoy	Item	connected to	first	ORDINAL
Sorcery: Repair	Item	connected to	Repair Powder	ORG
Sorcery: Fall Control	Item	connected to	Vinheim Dragon School	FAC
Sorcery: Fall Control	Item	connected to	Hush	PERSON
Sorcery: Fall Control	Item	connected to	Vinheim spooks.\n\n	PERSON
Sorcery: Chameleon	Item	connected to	Hidden Body	ORG
Sorcery: Resist Curse	Item	connected to	New Londo Sacrifice	GPE
Sorcery: Remedy	Item	connected to	Yulva	ORG
Sorcery: Remedy	Item	connected to	one	CARDINAL
Sorcery: Remedy	Item	connected to	the Sealers of New Londo	ORG
Sorcery: Remedy	Item	connected to	New Londo's	GPE
Sorcery: Remedy	Item	connected to	Blighttown	ORG
Sorcery: White Dragon Breath	Item	connected to	Logan	PERSON
Sorcery: White Dragon Breath	Item	connected to	Seath the Scaleless	PERSON
Sorcery: White Dragon Breath	Item	connected to	Big Hat	ORG
Dark Orb	Item	connected to	Dark Orb	PERSON
Pursuers	Item	connected to	Abyss	PRODUCT
Pyromancy: Fireball	Item	connected to	the Great Swamp	LOC
Fire Orb	Item	connected to	Pyromancy	PERSON
Fire Orb	Item	connected to	Fireball	WORK_OF_ART
Fire Orb	Item	connected to	orb.\nThe	MONEY
Pyromancy: Great Fireball	Item	connected to	Ultimate	ORG
Pyromancy: Great Fireball	Item	connected to	Hurl	ORG
Pyromancy: Great Fireball	Item	connected to	Pyromancer	PERSON
Pyromancy: Great Fireball	Item	connected to	the Great Fireball	WORK_OF_ART
Pyromancy: Firestorm	Item	connected to	Quelana	PERSON
Pyromancy: Firestorm	Item	connected to	Izalith	PERSON
Pyromancy: Fire Tempest	Item	connected to	Quelana	PERSON
Pyromancy: Fire Tempest	Item	connected to	Izalith	PERSON
Pyromancy: Fire Tempest	Item	connected to	the Daughters of Chaos	ORG
Pyromancy: Fire Surge	Item	connected to	Pyromancy	PERSON
Pyromancy: Fire Surge	Item	connected to	the Great Swamp	LOC
Pyromancy: Fire Surge	Item	connected to	the Great Swamp	LOC
Pyromancy: Fire Surge	Item	connected to	one	CARDINAL
Pyromancy: Fire Whip	Item	connected to	Quelana	PERSON
Pyromancy: Fire Whip	Item	connected to	Izalith	PERSON
Pyromancy: Fire Whip	Item	connected to	whip.\nThe	GPE
Pyromancy: Fire Whip	Item	connected to	Combustion	ORG
Pyromancy: Combustion	Item	connected to	hand.\nOne	PERSON
Pyromancy: Combustion	Item	connected to	pyromancies	GPE
Great Combustion	Item	connected to	Pyromancy	PERSON
Great Combustion	Item	connected to	hand.\nGreat Combustion	FAC
Pyromancy: Poison Mist	Item	connected to	Eingyi	ORG
Pyromancy: Toxic Mist	Item	connected to	Eingyi	ORG
Pyromancy: Toxic Mist	Item	connected to	Eingyi	ORG
Pyromancy: Toxic Mist	Item	connected to	the Great Swamp	LOC
Pyromancy: Toxic Mist	Item	connected to	One	CARDINAL
Pyromancy: Acid Surge	Item	connected to	Pyromancy	PERSON
Pyromancy: Acid Surge	Item	connected to	the Great Swamp	LOC
Pyromancy: Acid Surge	Item	connected to	the Great Swamp	LOC
Pyromancy: Acid Surge	Item	connected to	one	CARDINAL
Iron Flesh	Item	connected to	Pyromancy	PERSON
Iron Flesh	Item	connected to	Carmina	ORG
Pyromancy: Flash Sweat	Item	connected to	Pyromancy	PERSON
Pyromancy: Flash Sweat	Item	connected to	Carmina	ORG
Pyromancy: Flash Sweat	Item	connected to	Salaman	PERSON
Pyromancy: Flash Sweat	Item	connected to	Pyromancy	PERSON
Pyromancy: Undead Rapport	Item	connected to	Pyromancy	PERSON
Pyromancy: Undead Rapport	Item	connected to	Carmina	ORG
Pyromancy: Undead Rapport	Item	connected to	eons	DATE
Pyromancy: Power Within	Item	connected to	the Witch of Izalith	ORG
Pyromancy: Power Within	Item	connected to	humanity.\nThe Flame of Chaos	PRODUCT
Pyromancy: Great Chaos Fireball	Item	connected to	the Witch of Izalith	ORG
Pyromancy: Great Chaos Fireball	Item	connected to	humanity\nThe Witch of Izalith	ORG
Pyromancy: Great Chaos Fireball	Item	connected to	the Flame of Chaos	WORK_OF_ART
Pyromancy: Chaos Storm	Item	connected to	the Witch of Izalith	ORG
Pyromancy: Chaos Storm	Item	connected to	the Daughters of Chaos	WORK_OF_ART
Great Heal Excerpt	Item	connected to	HP	ORG
Great Heal Excerpt	Item	connected to	Gwynevere	PERSON
Miracle: Soothing Sunlight	Item	connected to	Gradual HP	PERSON
Replenishment	Item	connected to	Sun	ORG
Replenishment	Item	connected to	Gwynevere	PERSON
Miracle: Bountiful Sunlight	Item	connected to	first	ORDINAL
Miracle: Bountiful Sunlight	Item	connected to	Gravelord Nito	PERSON
Miracle: Bountiful Sunlight	Item	connected to	Giant Gravelord swords jut	PERSON
Miracle: Bountiful Sunlight	Item	connected to	vicinity.\nNito	PERSON
Miracle: Bountiful Sunlight	Item	connected to	the Giant Catacombs	FAC
Miracle: Gravelord Sword Dance	Item	connected to	first	ORDINAL
Miracle: Gravelord Sword Dance	Item	connected to	Gravelord Nito	PERSON
Miracle: Gravelord Sword Dance	Item	connected to	Giant Gravelord swords jut	PERSON
Miracle: Gravelord Sword Dance	Item	connected to	the Greatsword Dance	WORK_OF_ART
Miracle: Gravelord Sword Dance	Item	connected to	Gravelord	PERSON
Miracle: Gravelord Greatsword Dance	Item	connected to	the Way of White	ORG
Homeward	Item	connected to	mobs.\n\n\n	ORG
Miracle: Force	Item	connected to	Force	ORG
Miracle: Force	Item	connected to	Force	ORG
Miracle: Force	Item	connected to	Force	ORG
Miracle: Wrath of the Gods	Item	connected to	Outland	GPE
Miracle: Wrath of the Gods	Item	connected to	the Way of White	ORG
Miracle: Wrath of the Gods	Item	connected to	Force	ORG
Miracle: Lightning Spear	Item	connected to	Gwyn	PERSON
Miracle: Great Lightning Spear	Item	connected to	Gwyn	PERSON
Miracle: Great Lightning Spear	Item	connected to	Gwyn	PERSON
Miracle: Sunlight Spear	Item	connected to	Bishop Havel	PERSON
Miracle: Magic Barrier	Item	connected to	Gwyn	PERSON
Miracle: Magic Barrier	Item	connected to	Seath the Scaleless	FAC
Miracle: Great Magic Barrier	Item	connected to	Velka	ORG
Miracle: Great Magic Barrier	Item	connected to	Goddess Velka	ORG
Miracle: Karmic Justice	Item	connected to	Velka	ORG
Miracle: Karmic Justice	Item	connected to	Goddess Velka	ORG
Miracle: Tranquil Walk of Peace	Item	connected to	Velka	ORG
Miracle: Tranquil Walk of Peace	Item	connected to	the Goddess of Sin	WORK_OF_ART
Miracle: Vow of Silence	Item	connected to	Gwyn	PERSON
Miracle: Sunlight Blade	Item	connected to	Gwyndolin	GPE
Miracle: Sunlight Blade	Item	connected to	Gwyn	PERSON
Miracle: Sunlight Blade	Item	connected to	Darkmoon.\nThe	NORP
Miracle: Sunlight Blade	Item	connected to	Darkmoon	WORK_OF_ART
Miracle: Darkmoon Blade	Item	connected to	Gwyndolin	GPE
Miracle: Darkmoon Blade	Item	connected to	Gwyn	PERSON
Miracle: Darkmoon Blade	Item	connected to	Darkmoon.\nThe	NORP
Miracle: Darkmoon Blade	Item	connected to	Darkmoon	WORK_OF_ART
Beckon	Item	connected to	nan	PERSON
Point forward	Item	connected to	nan	PERSON
Hurrah!	Item	connected to	nan	PERSON
Bow	Item	connected to	nan	PERSON
Joy	Item	connected to	nan	PERSON
Shrug	Item	connected to	nan	PERSON
Wave	Item	connected to	nan	PERSON
Praise the Sun	Item	connected to	nan	PERSON
Point up	Item	connected to	nan	PERSON
Point down	Item	connected to	nan	PERSON
Look skyward	Item	connected to	nan	PERSON
Well! What is it!	Item	connected to	nan	PERSON
Prostration	Item	connected to	nan	PERSON
Proper bow	Item	connected to	nan	PERSON
Prayer	Item	connected to	nan	PERSON
Havel's Ring	Ring	connected to	Havel	PERSON
Havel's Ring	Ring	connected to	Gwyn	PERSON
Red Tearstone Ring	Ring	connected to	Carim	PRODUCT
Darkmoon Blade Covenant Ring	Ring	connected to	summoning.\nGwyndolin	ORG
Darkmoon Blade Covenant Ring	Ring	connected to	Gwynevere	PERSON
Darkmoon Blade Covenant Ring	Ring	connected to	Anor Londo	GPE
Cat Covenant Ring	Ring	connected to	Hunter	PERSON
Cat Covenant Ring	Ring	connected to	Alvina	PERSON
