ItemType	Name (EN)	Description (EN)
Armour	Elite Cleric Helm	"Helm worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.\nAmong such helms, those that were black belonged to warrior clerics sent on missions, many of whom were high-level priests."
Armour	Elite Cleric Armor	"Armor worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.\nAmong such armors, those that were black belonged to warrior clerics sent on missions, many of whom were high-level priests."
Armour	Elite Cleric Gauntlets	"Gauntlets worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.\nAmong such gauntlets, those that were black belonged to warrior clerics sent on missions, many of whom were high-level priests."
Armour	Elite Cleric Leggings	"Leggings worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle.\nAmong such leggings, those that were black belonged to warrior clerics sent on missions, many of whom were high-level priests."
Armour	Helm of Artorias	"Helm of Artorias the Abysswalker, one of Gwyn's Four Knights.\nThe death of the helm's owner can be surmised from the corrosive Dark of the Abyss, and the musty azure-blue tassel, once a symbol of pride and glory.\n\n\n\n\n"
Armour	Armor of Artorias	"Armor of Artorias the Abysswalker, one of Gwyn's Four Knights.\nThe death of the armor's owner can be surmised from the corrosive Dark of the Abyss, and the tattered azure-blue cape, once a symbol of pride and glory.\n\n"
Armour	Gauntlets of Artorias	"Gauntlets of Artorias the Abysswalker, one of Gwyn's Four Knights.\nThe death of their owner can be surmised from the corrosive Dark of the Abyss, which has compromised their protective utility."
Armour	Leggings of Artorias	"Leggings of Artorias the Abysswalker, one of Gwyn's Four Knights.\nThe death of their owner can be surmised from the corrosive Dark of the Abyss, which has compromised their protective utility."
Armour	Porcelain Mask	"Mask of the Lord's Blade Ciaran, one of Gwyn's Four Knights.\nThe cyclops headpiece is common to all of the Lord's Blades, but Ciaran was determined to earn this soft porcelain mask as a unique decoration of honor. The mask is lined with ivory locks of hair."
Armour	Lord's Blade Robe	"Robe of the Lord's Blade Ciaran, one of Gwyn's Four Knights.\nA robe common to all of the Lord's Blades. These deadly women shift nimbly between layers of darkness, etching streaks of gold into the night air, and planting visions of terror into the minds of their targets."
Armour	Lord's Blade Gloves	"Gloves worn by the Lord's Blade Ciaran, one of Gwyn's Four Knights.\nGloves common to all of the Lord's Blades. These deadly women shift nimbly between layers of darkness, etching streaks of gold into the night air, and planting visions of terror into the minds of their targets."
Armour	Lord's Blade Waistcloth	"Waistcloth worn by the Lord's Blade Ciaran, one of Gwyn's Four Knights.\nWaistcloth common to all the Lord's Blades. These deadly women shift nimbly between layers of darkness, etching streaks of gold into the night air, and planting visions of terror into the minds of their targets."
Armour	Gough's Helm	"Helm of Hawkeye Gough, one of Gwyn's Four Knights. Received as a decoration of knightly honor.\nA helm crafted especially for the honorable Hawkeye Gough, only the eye holes were packed with tree resin by those who dismissed Gough as a brutish giant.\n"
Armour	Gough's Armor	"Armor of Hawkeye Gough, one of Gwyn's Four Knights.\nArmor donned by Gough since his days as a dragonslayer. The medallion, bequeathed by the Lord Himself, and the dragon bone pauldrons are symbols of the highest honors."
Armour	Gough's Gauntlets	"Gauntlets of Hawkeye Gough, one of Gwyn's Four Knights.\nReceived as a decoration of honor. Crafted of similar material to the gauntlets worn by the Silver Knights.\n"
Armour	Gough's Leggings	"Leggings of Hawkeye Gough, one of Gwyn's Four Knights.\nReceived as a decoration of honor. Crafted of similar material to the gauntlets worn by the Silver Knights."
Armour	Guardian Helm	"Helm of the stone knights, guardians of the forest sanctuary.\nThe stone knights are golems animated by magic, and their enchanted helms are oppressively heavy.\n"
Armour	Guardian Armor	"Armor of the stone knights, guardians of the forest sanctuary.\nThe stone knights are golems animated by magic, and their enchanted armor is oppressively heavy."
Armour	Guardian Gauntlets	"Gauntlets of the stone knights, guardians of the forest sanctuary.\nThe stone knights are golems animated by magic, and their enchanted gauntlets are oppressively heavy."
Armour	Guardian Leggings	"Leggings of the stone knights, guardians of the forest sanctuary.\nThe stone knights are golems animated by magic, and their enchanted leggings are oppressively heavy."
Armour	Snickering Top Hat	"Black top hat worn by Marvellous Chester, a man of mystery lost in the past.\nThe wearer of this top hat cracks a dubious, permanent grin. The Curse of Chester!"
Armour	Chester's Long Coat	"Black leather long coat hat worn by Marvellous Chester, a man of mystery lost in the past.\nThis exquisitely sewn aristocratic suit allows its wearer to move in silence, lending well to stealth."
Armour	Chester's Gloves	"Leather gloves worn by Marvellous Chester, a man of mystery lost in the past.\nThese gloves have no distinguishing features, but are of extremely high quality.\n\n"
Armour	Chester's Trousers	"Black leather trousers worn by Marvellous Chester, a man of mystery lost in the past.\nThese exquisitely sewn trousers are decorated with silver trinkets of varying sizes, and have straps on the inner legs for carrying crossbow bolts."
Armour	Bloated Head	"The head of an Oolacile resident whose humanity went wild after being devoured by the Dark of Manus, Father of the Abyss.\nThe bloated head is fissured, the cracks lined with innumerable tiny red eyeballs. With a hard outside and mucous-filled inside, no sane person could ever wear it."
Armour	Bloated Sorcerer Head	"The head of an Oolacile resident whose humanity went wild after being devoured by the Dark of Manus, Father of the Abyss.\nThe bloated head is fissured, the cracks lined with innumerable tiny red eyeballs, and accented by protruding brain parts. It is lightly enchanted, suggesting that it may have belonged to a sorcerer."
Armour	Head	Head
Armour	Body	Body
Armour	Arms	Arms
Armour	Legs	Legs
Armour	No Travel Gear / Head	No Travel Gear / Head
Armour	No Travel Gear / Body	No Travel Gear / Body
Armour	No Travel Gear / Arms	No Travel Gear / Arms
Armour	No Travel Gear / Legs	No Travel Gear / Legs
Armour	Dragon Head	"Transform the head into that of a dragon with a secret rite of the transcendent apostles. Use Dragon Head Stone in this state to spew dragon breath.\nThe dragon apostles seek transcendence of life itself, attainable by transformation into an ancient drag"
Armour	Dragon Body	"Transform the body into that of a dragon with a secret rite of the transcendent apostles. Use Dragon Torso Stone in this state to let out a great dragon roar.\nThe dragon apostles seek transcendence of life itself, attainable by transformation into an an"
Armour	Dragon Arms	"Transform arms into those of a dragon with a secret rite of the transcendent apostles. Use Dragon Torso Stone in this state to create dragon roar and wield talons from the hands.\nThe dragon apostles seek transcendence of life itself, attainable by trans"
Armour	Dragon Legs	"Transform legs into those of a dragon with a secret rite of the transcendent apostles. Use Dragon Torso Stone in this state to let out a great dragon roar.\nThe dragon apostles seek transcendence of life itself, attainable by transformation into an ancie"
Armour	Egg	"An egg implanted on the head by a type of parasite bearing eggs on its back.\nThe nightmare begins with a slight itch on the head, and soon the parasite will be siphoning the souls of slain enemies. Unless you find this amusing, quickly use Egg Vermifuge to purge it."
Item	White Sign Soapstone	"Online play item. Leave summon sign.\nBe summoned to another world as a phantom through your sign, and defeat the area boss to acquire humanity. In Lordran, the flow of time is distorted, and the White Sign Soapstone allows Undead to assist one another."
Item	Red Sign Soapstone	"Online play item. Leave invasion sign.\nBe summoned to another world as a dark spirit, and defeat the summoner to acquire humanity. Certain Darkwraiths resist their descent into dark and persevere along the honorable path. The Red Sign Soapstone is for them."
Item	Red Eye Orb	Online play item. Invade another world.\nDefeat the master of the world you have invaded to acquire humanity.\nThe Darkwraiths of Kaathe use this orb to seek humanity and plunge further into dark. Perhaps they are more human than we?
Item	Black Separation Crystal	"This black crystal, long a symbol of farewell, is granted to banished Undead. The crystal sends phantoms back to their homes, or sends you back to yours.\nBeware of fickle use of this item if you intend to nurture relations."
Item	Orange Guidance Soapstone	"Online play item. Write/view/rate message.\nMessages transmit to other worlds, where they are rated. Also, rate messages of others.\nIn Lordran, the flow of time is distorted, and messages allow Undead to assist (or deceive) one another."
Item	Book of the Guilty	"Online play item. Check list of indicted players.\nThe Goddess of Sin Velka oversees this list of the guilty, who have disrespected the Gods or their covenants, and shall one day face the wrath of the Blades of the Darkmoon."
Item	Eye of Death	"Online play item. Lure phantoms from other worlds.\nThe dreadful Eyes of Death spread disaster across neighboring worlds. Phantoms lured to the host world may end up as victims, allowing the Eyes of Death to multiply, and leading to further proliferation of bane."
Item	Cracked Red Eye Orb	Online play item. Invade another world.\nDefeat the master of the world you have invaded to acquire humanity.\nThe Cracked Red Eye Orb allows players to temporarily imitate this ability normally limited to the Darkwraiths of Kaathe.
Item	Servant Roster	"Online play item. Check servants of the Daughters of Chaos.\nEgg-bearer Eingyi keeps this roster of those who serve his master, a Daughter of Chaos. Eingyi praises those who offer significant humanity to alleviate his master's suffering.\nBut what is praise from Eingyi really worth?"
Item	Blue Eye Orb	"Online play item. Invade world of player in Book of the Guilty. Subdue player to acquire Souvenir of Reprisal.\nThese mystical orbs are granted to Blades of the Darkmoon, knights who serve the Dark Sun Gwyndolin, so that they may serve the Gods in meting out vengeance."
Item	Dragon Eye	"Online play item. Find a player who has acquired a Dragon Scale and invade that player's world to pillage it.\nAn art of the transcendent apostles who pray to the ancient dragons. To be alive is to be vulnerable, and the fiery Gods are no exception. The apostles seek another plane of existence, which transcends life.\n\n\n\n\n"
Item	Black Eye Orb	"Mystical orb found on a Keeper's corpse\nInvade the world of the murderer of a Fire Keeper, to defeat the perpetrator and reclaim the soul of the Fire Keeper.\nThe Black Eye keeps constant watch on the city of the Gods, Anor Londo."
Item	Black Eye Orb	"Invade the world of the traitor Shiva.\nInvade the world of Shiva, and subdue him to reclaim the Blade of Chaos.\nBut the Black Eye has lost its focus, and its powers waver timorously. Where could the traitor Shiva be?\n"
Item	Darksign	"The Darksign signifies an accursed Undead. Those branded with it are reborn after death, but will one day lose their mind and go Hollow.\nDeath triggers the Darksign, which returns its bearer to the last bonfire rested at, but at the cost of all humanity and souls."
Item	Purple Coward's Crystal	"Online play item. Quit Battle of Stoicism. (Session ends if host leaves)\nVictory in this battle once led to ancient Anor Londo, but even in the absence of its overseer, capitulation is a disgrace. In the name of a warrior's honor, do not quickly resort to use of this crystal."
Item	Estus Flask	"The Undead treasure these dull green flasks. Fill with Estus at bonfire. Fills HP.\nThe Estus Flasks are linked to the Fire Keepers. The Dark Tales also make reference:\n An emerald flask, from the Keeper's soul She lives to protect the flame, And dies to protect it further\n"
Item	Silver Pendant	"Silver pendant engraved with the crest of Artorias.\nOne of the ancient treasures of Anor Londo. Presented to Artorias for facing the Abyss.\nEffectively deflects the Dark of the Abyss, especially in its magic forms."
Item	Elizabeth's Mushroom	"Large medicinal mushroom of Elizabeth, keeper of the sanctuary.\nEating this mushroom invigorates the flesh, and greatly restores HP for a limited duration.\nIts dramatic effect can make the difference between a warrior's life and death."
Item	Divine Blessing	"Holy water from Goddess Gwynevere. Fully restore HP and undo irregularities.\nThe Goddess of Sunlight Gwynevere, daughter of the great Lord of Sunlight Gwyn, is cherished by all as the symbol of bounty and fertility.\n\n\n"
Item	Green Blossom	"Green weed, shaped like a flower. Temporary boost to stamina recovery speed.\nThis uniquely bitter, biting herb is sometimes harvested in large quantities, but normally it is an annual plant found near water."
Item	Bloodred Moss Clump	"Medicinal red moss clump. Reduces bleeding build-up.\nBleeding builds up when attacked by sharp blades or spikes, and once triggered causes severe damage. Use this moss clump before it reaches this point."
Item	Purple Moss Clump	"Medicinal purple moss clump. Reduces poison build-up. Cures poison.\nPoison builds up in the body, and when it breaks out, it causes gradual damage over a period of time. Poison can be exasperating, so be certain to carry the needed quantity of these moss clumps when destined for an afflicted area."
Item	Blooming Purple Moss Clump	"Potently medicinal moss clump with a flower. Reduces poison and toxin. Restores status.\nToxin is a more vicious form of poison which quickly leads to death.\nMoss clumps without a flower are useless against toxin, and a lack of these moss clumps could lead to an early demise."
Item	Purging Stone	"Ash-colored stone encasing a skull. Secret treasure of Arstor, the Earl of Carim. Reduces curse build-up and breaks curse.\nHumans are helpless against curses, and can only redirect their influence. The Purging Stone does not dispel curses, but receives them as a surrogate. The stone itself was once a person or some other being."
Item	Egg Vermifuge	"Bitter, sour chestnut. Removes parasitic egg from body.\nThe egg-bearers have chosen to serve the Flame of Chaos, and the eggs symbolize this selfless choice.\nNaturally, these chestnuts are forbidden, but are allowed under special circumstances."
Item	Repair Powder	"Lightly enchanted golden powder. Repairs weapon equipped in right hand.\nUse of a weapon depletes its durability, eventually rendering it ineffective.\nRepair Powder is a precious method of repair on the battlefield, as it obviates the need for a Repairbox.\n\n\n\n\n"
Item	Throwing Knife	"Throwing knife. Used as a projectile.\nThrowing knives have limited range and accuracy compared to arrows, but offer a quick-and-easy ranged attack.\nUndead who lack other means of ranged attacks will do well to stock a few of these."
Item	Poison Throwing Knife	"Throwing knife. Coated with poison.\nThrowing knives have limited range and accuracy compared to arrows, but offer a quick-and-easy ranged attack.\nWhen a foe is poisoned, it will continually take damage over a period of time.\n"
Item	Firebomb	"Bisque urn filled with black powder. Explodes, inflicting fire damage.\nRelatively powerful ranged weapon, especially in situations calling for fire damage. A very precious item at low levels.\nMany warriors use these to augment their strategic repertoire."
Item	Dung Pie	"Atrocious fecal waste material. Throw at enemy to build up toxins, but also builds up your toxicity.\nAlthough the stench makes it difficult to carry on one's person, turning an enemy toxic inflicts high damage over a period of time."
Item	Alluring Skull	"A skull with meekly lingering souls. Throw to shatter and spread souls to attract certain types of enemies.\nSouls are a concentration of life, and the life-starved Hollows are lured by its power. Not effective for all enemies."
Item	Lloyd's Talisman	"Talisman utilized by Allfather Lloyd's cleric knights to hunt down the Undead. Blocks Estus recovery within a limited area.\nIn the outside world, the Undead are accursed creatures, and Lloyd's cleric knights are widely praised for their Undead hunts. This blessed talisman blocks Undead recovery, allowing the knights to fight with impunity.\n\n"
Item	Black Firebomb	"Black bisque urn filled with black powder. Explodes, inflicting fire damage.\nPowerful ranged weapon, especially in situations calling for fire damage. A very precious item at low levels.\nBlack Firebombs are especially destructive."
Item	Charcoal Pine Resin	"Black charcoal-like pine resin. Applies fire to right-hand weapon.\nAffected weapon inflicts fire damage for a short time. Particularly effective against corporeal creatures and Undead, who have an instinctual fear of fire."
Item	Gold Pine Resin	"Rare pine resin which emits golden sparks. Applies lightning to right-hand weapon.\nAffected weapon inflicts rare lightning damage, making it effective against targets which are resilient to both magic and fire. Very effective against dragon family foes."
Item	Transient Curse	"Limb of the victim of a curse. Temporary curse allows engagement with ghosts.\nThe only way to fight back against ghosts, who are cursed beings, is to become cursed oneself. The safest method, however dreadful, is to cut off an arm of the dead."
Item	Rotten Pine Resin	"Rotten pine resin that has gained poison. Adds poison effect to right-hand weapon.\nHits with affected weapon build up enemy poison level. If enemy is poisoned, damage will be inflicted for a period of time."
Item	Homeward Bone	"Bone fragment reduced to white ash. Return to last bonfire used for resting.\nBonfires are fueled by bones of the Undead. In rare cases, the strong urge of their previous owner's to seek bonfires enchants their bones with a homeward instinct."
Item	Humanity	"Rare tiny black sprite found on corpses Use to gain 1 humanity\nThis black sprite is called humanity, but little is known about its true nature. If the soul is the source of all life, then what distinction is left for humanity?"
Item	Prism Stone	"Warm pebble emitting a beautiful phasing aura of seven colors, with a very rare eighth.\nThe rainbow stone does nothing special, but can serve as a path marker, and can be dropped off a cliff to judge height by the sound of its descent. If a loud noise is heard upon its landing, then a fall off the ledge is surely lethal.\n\n\n"
Item	Binoculars	"Binoculars made of brass. Use to peer at distant scenery.\nThis advanced device was built by a famous craftsman of Astora. Its utility is singular, but its applications many.\nThe value of these specs depends greatly on the imagination of their owner."
Item	Affidavit	"Slip sold by bishop of Velka, Goddess of Sin Annul a covenant without committing sin\nA covenant is a most sacred union, normally not subject to negotiation, but when circumstances require it, even Goddess Velka will make an exception.\n"
Item	Indictment	"Slip sold by bishop of Velka, Goddess of Sin. If you are killed by an invader, use this to report the crime of that trespasser.\nThe indicted player will be added to a list of unfortunate souls who will one day face the wrath of the Blades of the Darkmoon."
Item	Souvenir of Reprisal	"Blood-drained, shrunken ear. Souvenir taken for subduing the guilty.\nThe knights called the Blades of the Darkmoon punish the guilt-soaked offenders of the Gods and take this as proof of their conquest. The earless corpses of the guilty will be left behind as a warning to others, inspiring both fear and respect for the Gods. Such is the eternal mandate of the Dark Sun."
Item	Sunlight Medal	"This faintly warm medal, engraved with the symbol of the Sun, is the ultimate honor, awarded to shoe who summon the Warrior of Sunlight and complete a goal.\nThe symbol represents Lord Gwyn's firstborn, who lost his deity status and was expunged from the annals. But the old God of War still watches closely over his warriors.\n"
Item	Pendant	"This faintly warm medal, engraved with the symbol of the Sun, is the ultimate honor, awarded to shoe who summon the Warrior of Sunlight and complete a goal.\nThe symbol represents Lord Gwyn's firstborn, who lost his deity status and was expunged from the annals. But the old God of War still watches closely over his warriors.\n"
Item	Dragon Head Stone	"Stone imbued with the power of the dragons. Rite of apostles of the ancient dragons. Gain head of dragon. Emit dragon breath.\nThe dragon apostles seek transcendence of life itself, attainable by transformation into an ancient dragon. This rite is only one step, but it cannot be reversed until death.\n"
Item	Dragon Torso Stone	"Stone imbued with the power of the dragons. Rite of apostles of the ancient dragons. Gain torso of dragon. Roar like a dragon.\nThe dragon apostles seek transcendence of life itself, attainable by transformation into an ancient dragon. This rite is only one step, but it cannot be reversed until death.\n\n\n"
Item	Rubbish	Rubbish with no value. Who in their right mind would bother carrying this around? Perhaps you need help.
Item	Copper Coin	"Coin made of copper. Its face shows Old Man McLoyf, god of medicine and drink.\nEven coins of great value in the world of men have little value in Lordran, where the accepted currency is souls.\nThose who dream of returning to the outside world are fond of carrying these around."
Item	Silver Coin	"Coin made of silver, with a portrait of the legendary Knight King Rendal on its face.\nEven coins of great value in the world of men have little value in Lordran, where the accepted currency is souls.\nThose who dream of returning to the outside world are fond of carrying these around."
Item	Gold Coin	"Coin made of gold, with Allfather Lloyd and his white halo shown on its face.\nEven coins of great value in the world of men have little value in Lordran, where the accepted currency is souls.\nThose who dream of returning to the outside world are fond of carrying these around."
Item	Peculiar Doll	"A strange doll in strange dress.\nThere once was an abomination who had no place in this world. She clutched this doll tightly, and eventually was drawn into a cold and lonely painted world."
Item	Dried Finger	"Dried finger with multiple knuckles.\nShriveled but still slightly warm. With this many knuckles, surely it cannot belong to anything human."
Item	Fire Keeper Soul	"Soul of the Ash Maiden, Fire Keeper of Firelink Shrine.\nA Fire Keeper's soul is a draw for humanity, and held within their bosoms, below just a thin layer of skin, are swarms of humanity that writhe and squirm. Was the Ash Maiden locked in this dark prison for some transgression, or by her own will?"
Item	Fire Keeper Soul	"Soul of the Darkmoon Knightess, Fire Keeper of Anor Londo.\nA Fire Keeper's soul is a draw for humanity, and held within their bosoms, below just a thin layer of skin, are swarms of humanity that writhe and squirm. Her brass armor serves to disguise this ghastly form.\n\n"
Item	Fire Keeper Soul	"Soul of a Daughter of Chaos, Fire Keeper of Quelaag's Domain.\nA Fire Keeper's soul is a draw for humanity, and held within their bosoms, below just a thin layer of skin, are swarms of humanity that writhe and squirm. To her, the countless eggs which appeared were cradles for each tiny humanity."
Item	Fire Keeper Soul	"Soul of a long-lost Fire Keeper.\nEach Fire Keeper is a corporeal manifestation of her bonfire, and a draw for the humanity which is offered to her. Her soul is gnawed by infinite humanity, and can boost the power of precious Estus Flasks. Reinforced Estus Flasks capture denser Estus, allowing for increased restoration of HP."
Item	Soul of a Lost Undead	"Soul of a lost Undead who has long ago gone Hollow.\nUse to acquire souls.\nSouls are the source of all life, and whether Undead, or even Hollow, one continues to seek them.\n"
Item	Large Soul of a Lost Undead	"Large soul of a lost Undead who has long ago gone Hollow.\nUse to acquire souls.\nSouls are the source of all life, and whether Undead, or even Hollow, one continues to seek them.\n"
Item	Soul of a Nameless Soldier	"Soul of a nameless Undead soldier who has long ago gone Hollow.\nUse to acquire souls.\nSouls are the source of all life, and whether Undead, or even Hollow, one continues to seek them.\n"
Item	Large Soul of a Nameless Soldier	"Large soul of a nameless Undead soldier who has long ago gone Hollow.\nUse to acquire many souls.\nSouls are the source of all life, and whether Undead, or even Hollow, one continues to seek them.\n"
Item	Soul of a Proud Knight	"Soul of a proud Undead knight who has long ago gone Hollow.\nUse to acquire many souls.\nSouls are the source of all life, and whether Undead, or even Hollow, one continues to seek them.\n"
Item	Large Soul of a Proud Knight	"Large soul of a proud Undead knight who has long ago gone Hollow.\nUse to acquire many souls.\nSouls are the source of all life, and whether Undead, or even Hollow, one continues to seek them.\n"
Item	Soul of a Brave Warrior	"Soul of a brave Undead warrior who has long ago gone Hollow.\nUse to acquire a large amount of souls.\nSouls are the source of all life, and whether Undead, or even Hollow, one continues to seek them.\n"
Item	Large Soul of a Brave Warrior	"Large soul of a brave Undead warrior who has long ago gone Hollow.\nUse to acquire a large amount of souls.\nSouls are the source of all life, and whether Undead, or even Hollow, one continues to seek them.\n"
Item	Soul of a Hero	"Soul of a hero of legend who has long ago gone Hollow.\nUse to acquire a large amount of souls.\nSouls are the source of all life, and whether Undead, or even Hollow, one continues to seek them.\n"
Item	Soul of a Great Hero	"Great soul of a hero of legend who has long ago gone Hollow.\nUse to acquire an incredible amount of souls.\nSouls are the source of all life, and whether Undead, or even Hollow, one continues to seek them.\n"
Item	Humanity	"Rare tiny black sprite found on corpses. Use to gain 1 humanity and restore a large amount of HP.\nThis black sprite is called humanity, but little is known about its true nature. If the soul is the source of all life, then what distinguishes the humanity we hold within ourselves?"
Item	Twin Humanities	"Rare tiny black sprite found on corpses. Very unusual twin humanity. Use to gain 2 humanity and restore a large amount of HP.\nThis black sprite is called humanity, but little is known about its true nature. If the soul is the source of all life, then what distinction is left for humanity?"
Item	Hello Carving	"Head carved of archtrees by Gough in his imprisonment. Gough imparts an emotion to each and every completed carving, which helps him achieve personal enlightenment. When a head is disturbed, it speaks, reflecting the emotion conferred to it.\nThis head says \Hello\"". Have another look. Do you sense the amicability in its eyes?"""
Item	Thank you Carving	"Head carved of archtrees by Gough in his imprisonment. Gough imparts an emotion to each and every completed carving, which helps him achieve personal enlightenment. When a head is disturbed, it speaks, reflecting the emotion conferred to it.\nThis head says \Thank you\"". Have another look. Is this not a face of gratitude?"""
Item	Very good! Carving	"Head carved of archtrees by Gough in his imprisonment. Gough imparts an emotion to each and every completed carving, which helps him achieve personal enlightenment. When a head is disturbed, it speaks, reflecting the emotion conferred to it.\nThis head says \Very good!\""Have another look. Does it not appear quite jovial?"""
Item	I'm sorry Carving	"Head carved of archtrees by Gough in his imprisonment. Gough imparts an emotion to each and every completed carving, which helps him achieve personal enlightenment. When a head is disturbed, it speaks, reflecting the emotion conferred to it.\nThis head says \I'm sorry\"". Have another look. Isn't that an expression of atonement?"""
Item	Help me! Carving	"Head carved of archtrees by Gough in his imprisonment. Gough imparts an emotion to each and every completed carving, which helps him achieve personal enlightenment. When a head is disturbed, it speaks, reflecting the emotion conferred to it.\nThis head says \Help me!\""Look again. Can you hear the desperate plea?"""
Item	Soul of Quelaag	"Soul of Quelaag, once daughter of the Witch of Izalith, but now a chaos demon.\nSpecial beings have special souls, and Quelaag's soul contains all aspects of Chaos. Use it to acquire a huge amount of souls, or to create a unique weapon."
Item	Soul of Sif	"Soul of Sif the Great Grey Wolf, who guards the grave of Artorias the Abysswalker.\nSpecial beings have special souls. Use the soul of Sif, who inherited the divine knightsword, to acquire a huge amount of souls, or to create a unique weapon."
Item	"Soul of Gwyn, Lord of Cinder"	"Soul of the Gwyn, Lord of Sunlight and Cinder, who linked the First Flame.\nLord Gwyn bequeathed most of his power to the Gods, and burned as cinder for the First Flame, but even so, Lord Gwyn's soul is a powerful thing indeed."
Item	Core of an Iron Golem	"Soul serving as the core of the Iron Golem, guardian of Sen's Fortress, and slayer of countless heroes seeking Anor Londo.\nOriginally a bone of an everlasting dragon. Use to acquire a huge amount of souls, or to create a unique weapon."
Item	Soul of Ornstein	"Soul of Ornstein, Dragonslayer Knight who guards the cathedral in the forsaken city of Anor Londo.\nSpecial beings have special souls. Lord Gwyn granted this soul to his four most trusted knights.\nUse to acquire a huge amount of souls, or to create a unique weapon."
Item	Soul of the Moonlight Butterfly	"Soul of the mystical Moonlight Butterfly, which flitters in the Darkroot Garden.\nSpecial beings have special souls. The butterfly's soul is a creation of Seath the Scaleless.\nUse to acquire a huge amount of souls, or to create a unique weapon."
Item	Soul of Smough	"Soul of Smough the Executioner, who guards the cathedral in the forsaken city of Anor Londo.\nSpecial beings have special souls. Use the soul of this eerily gleeful executioner to acquire a huge amount of souls, or to create a unique weapon."
Item	Soul of Priscilla	"Soul of Priscilla the Crossbreed, trapped inside the painted world of Ariamis.\nSpecial beings have special souls. Use the soul of this crossbreed bastard child and antithesis to all life to acquire a huge amoung of souls, or to create a unique weapon."
Item	Soul of Gwyndolin	"Soul of Darkmoon Gwyndolin, god of the Dark Sun and guardian of deserted Anor Londo.\nSpecial beings have special souls. Use the soul of Gwyn's lastborn to acquire a huge amount of souls, or to create a unique weapon."
Item	Guardian Soul	"Soul of the white winged lion sanctuary watchkeeper, who dreaded the spread of the Abyss.\nThe Guardian exhibited traits of several animals other than lions, suggesting that it was no ordinary beast, but rather closer to the beings known as Demons.\n\n\n\n\n"
Item	Soul of Artorias	"Soul of Lord Gwyn's Knight Artorias, who was consumed by the Abyss.\nThe legend that Artorias repelled the Abyss only told half of the story.\nIt seems that he was defeated, and his honor preserved, by some unsung hero, who is the true victor over the Abyss."
Item	Soul of Manus	"Soul of Manus, Father of the Abyss. This extraordinary soul is a viscous, lukewarm lump of gentle humanity.\nAncient Manus was clearly once human. But he became the Father of the Abyss after his humanity went wild, eternally seeking his precious broken pendant."
Item	Large Ember	"Ember required for weapon ascension. A large, high-quality ember. Handled by the blacksmiths of Astora.\nAscension for +5 standard weapon. Allows reinforcement to +10.\nAlso, can ascend +5 std wpn to raw wpn. (raw weapon can be reinforced to +5)"
Item	Very Large Ember	"Ember required for weapon ascension. Huge ember of highest quality. Handled by the blacksmiths of Astora.\nAscension for +10 standard weapon. Allows reinforcement to +15, on par with the greatest weapons of legend."
Item	Crystal Ember	"Ember required for weapon ascension. Crystal ember created by Seath the Scaleless. Handled only by the giant God's blacksmiths.\nAscends +10 standard wpn to crystal weapon. (crystal weapon can be reinforced to +5)\nCrystal weapons are powerful but brittle, and cannot be repaired once broken."
Item	Large Magic Ember	"Ember required for weapon ascension. Large magic ember, a form of sorcery. Handled only by the Vinheim magic blacksmiths.\nAscends +5 magic weapon. Allows reinforcement to +10, the most powerful level for magic weapons."
Item	Enchanted Ember	"Ember required for weapon ascension. This enchanted ember, a form of sorcery, is a vestige of the lost land of Oolacile.\nAscends +5 magic wpn to enchanted weapon. (enchanted weapon can be reinforced to +5)\nThe sorcerer's enchanted weapon that inflicts magic damage and is boosted by intelligence."
Item	Divine Ember	"Ember required for weapon ascension. Divine embers are property of the church, and intended for divine blacksmiths.\nAscends +5 standard wpn to divine weapon. (divine weapon can be reinforced to +5)\nDivine weapons are for Undead hunting. Use against Undead and the pawns of necromancers."
Item	Large Divine Ember	"Ember required for weapon ascension. Large divine ember, of secret church rites. Intended for select divine blacksmiths.\nAscends +5 divine weapon. Allows reinforcement to +10, on par with the very weapons of the Gods."
Item	Dark Ember	"Ember required for weapon ascension. The church long hid the forbidden black ember, and no living blacksmith knows of it.\nAscends +5 divine weapon to occult weapon. (occult weapon can be reinforced to +5)\nOccult weapons were used to hunt the Gods, and are effective against their followers and kin."
Item	Large Flame Ember	"Ember required for weapon ascension. Large flame ember used in ancient rites. Handled only by blacksmiths knowledgeable in ancient methods.\nAscends +5 fire weapon. Allows reinforcement to +10, the most powerful level for fire weapons.\n\n"
Item	Chaos Flame Ember	Ember required for weapon ascension. Chaos Flame Ember is an art of the lost city of Izalith. Handled only by blacksmiths knowledgeable in ancient methods.\nAscends +5 flame weapon to chaos weapon. (chaos weapon can be reinforced to +5) Chaos weapons are demon weapons augmented by humanity which inflict fire damage.
Item	Titanite Shard	Titanite shard for weapon reinforcement. Most common titanite material. Reinforces standard weapons to +5.\nTitanite shards are fragments of the Legendary Slabs. Titanite is etched into weapons to reinforce.\n
Item	Large Titanite Shard	"Titanite shard for weapon reinforcement. Larger titanite material. Reinforces standard weapons to +10, and raw weapons to +5.\nTitanite shards are fragments of the Legendary Slabs. Titanite is etched into weapons to reinforce.\n"
